language;voc;page;line;Type;Der-Die-Das;Mot en ALL;pluriel;Mot FR
allemand;voc2;p12;4;phrase;;Sie steht an der Wand.;;elle est debout au mur
allemand;voc2;p12;5;mot;;auf;;sur
allemand;voc2;p12;6;phrase;;Sie ist auf dem Bett.;;elle est sur le lit
allemand;voc2;p12;7;mot;;unter;;sous
allemand;voc2;p12;8;phrase;;Sie schläft unter dem Bett.;;elle dort sous le lit
allemand;voc2;p12;9;mot;;vor;;devant
allemand;voc2;p12;10;phrase;;Sie schläft vor dem Bett.;;elle dort devamt le lit
allemand;voc2;p12;11;mot;;hinter;;derrière
allemand;voc2;p12;12;phrase;;Sie liegt hinter dem Bett.;;elle est derrière le lit
allemand;voc2;p12;13;mot;;in;;dans, en, à
allemand;voc2;p12;14;phrase;;Sie ist im Bett.;;elle est au lit
allemand;voc2;p12;15;mot;;neben;;à côté de
allemand;voc2;p12;16;phrase;;Sie schläft neben dem Bett.;;
allemand;voc2;p12;17;mot;;über;;au-dessus (de)
allemand;voc2;p12;18;phrase;;Sie ist über dem Bett.;;elle est au-dessus du lit
allemand;voc2;p12;19;mot;;zwischen;;entre
allemand;voc2;p12;20;phrase;;Sie schläft zwischen den Stühlen.;;elle dort entre les chaises
allemand;voc2;p13;1;mot;die;Kreuzung;-en;le croisement
allemand;voc2;p13;2;mot;die;Ampel;-n;le feu (de signalisation)
allemand;voc2;p13;3;mot;der;Ort;-e;le lieu, l’endroit
allemand;voc2;p13;4;mot;die;Haltestelle;-n;l’arrêt
allemand;voc2;p13;5;mot;;aus|steigen;;descendre (d’un véhicule)
allemand;voc2;p13;6;verbe;;er steigt aus;;il descend (d’un véhicule)
allemand;voc2;p13;7;mot;;Klara steigt an der nächsten Haltestelle aus.;;Klara descend au prochain arrêt.
allemand;voc2;p13;8;mot;der;Marktplatz;ä-e;la place du marché
allemand;voc2;p13;9;mot;;nah;;proche, à proximité
allemand;voc2;p13;10;phrase;;Alles ist ganz nah.;;Tout est à proximité.
allemand;voc2;p13;11;mot;;weit;;loin
allemand;voc2;p13;12;mot;Das;Kino ist nicht weit.;;Le cinéma n’est pas loin.
allemand;voc2;p13;13;mot;das;Jugendzentrum;-ren;le centre de jeunes
allemand;voc2;p13;14;mot;das;Rathaus;;l’hôtel de ville
allemand;voc2;p13;15;mot;der;Spielplatz;ä-e;le terrain de jeu
allemand;voc2;p13;16;mot;der;Schulweg;-e; le chemin de l’école
allemand;voc2;p13;17;mot;;ab|biegen, er biegt ab;;tourner, virer
allemand;voc2;p13;18;verbe;;er biegt ab;;il tourne, il vire
allemand;voc2;p13;19;phrase;;Ich biege links ab.;;Je tourne à gauche.
allemand;voc2;p13;20;mot;;Geschäfte;;des Magasins
allemand;voc2;p13;21;mot;;kaufen;;acheter
allemand;voc2;p13;22;mot;;er kauft;;il achete
allemand;voc2;p13;23;mot;;kosten;;coûter
allemand;voc2;p13;24;mot;;er kostet;;il coûte
allemand;voc2;p13;25;mot;;es kostet;;ça coûte
allemand;voc2;p13;26;phrase;;Die Jacke kostet nicht viel.;;La veste ne coûte pas cher.
allemand;voc2;p13;27;mot;der;Supermarkt;-e;le supermarché
allemand;voc2;p13;28;mot;das;Restaurant;-s;le restaurant
allemand;voc2;p13;29;mot;die;Bäckerei;-en;la boulangerie
allemand;voc2;p13;30;phrase;;In der Bäckerei gibt es Brot und Brötchen.;;À la boulangerie, il y a du pain et des petits pains.
allemand;voc2;p13;31;mot;der;Kiosk;-e;le kiosque
allemand;voc2;p13;32;phrase;;Am Kiosk gibt es Zeitschriften und Zeitungen.;;Au kiosque, il y a des magazines et des journaux
allemand;voc2;p14;1;phrase;;Au kiosque, il y a des magazines et des journaux;;À la pharmacie, on peut acheter des médicaments.
allemand;voc2;p14;2;mot;die;Apotheke, -n;;la pharmacie
allemand;voc2;p14;3;phrase;;In der Apotheke kann man Medikamente kaufen;;
allemand;voc2;p14;4;mot;die;Post;;la poste
allemand;voc2;p14;5;mot;die;Bank;-en;la banque
allemand;voc2;p14;6;phrase;;Jakob wartet vor der Bank.;;Jakob attend devant la banque.
allemand;voc2;p14;7;mot;;ein|kaufen;;faire les courses
allemand;voc2;p14;8;verbe;;er kauft ein;;il fait les courses
allemand;voc2;p14;9;mot;;bezahlen, er bezahlt;;payer
allemand;voc2;p14;10;verbe;;er bezahlt;;il paie
allemand;voc2;p14;11;phrase;;Ich bezahle an der Kasse.;;Je paie à la caisse.
allemand;voc2;p14;12;mot;;shoppen;;faire du shopping
allemand;voc2;p14;13;verbe;;er shoppt;;il fait du shopping
allemand;voc2;p14;14;mot;das;Kaufhaus;ä-er;le grand magasin
allemand;voc2;p14;15;mot;das;Geschäft;-e;le magasin
allemand;voc2;p14;16;mot;die;Kạsse;-n;la caisse
allemand;voc2;p14;17;mot;;Lebensmittel und Waren;;Aliments et denrées
allemand;voc2;p14;18;mot;das;Shampoo;-s;le shampoing
allemand;voc2;p14;19;mot;die;Wurst;ü-e;la saucisse
allemand;voc2;p14;20;mot;der;Käse;;le fromage (toujours au singulier)
allemand;voc2;p14;21;mot;die;Banane;-n;la banane
allemand;voc2;p14;22;mot;das;Brot;-e;le pain
allemand;voc2;p14;23;mot;das;Brötchen;-;le petit pain
allemand;voc2;p14;24;mot;das;Medikament;-e;le médicament
allemand;voc2;p14;25;mot;die;Zeitschrift;-en;le magazine
allemand;voc2;p14;26;mot;die;Zeitung;-en;le journal
allemand;voc2;p14;27;mot;;Schulsachen;;Affaires d’école
allemand;voc2;p14;28;mot;das;Heft;-e;le cahier
allemand;voc2;p14;29;mot;das;Buch;ü-er;le livre
allemand;voc2;p14;30;mot;das;Papier;-e;le papier
allemand;voc2;p14;31;mot;der;Stift;-e;le stylo
allemand;voc2;p15;1;mot;das;Blatt;ä-er;la feuille
allemand;voc2;p15;2;mot;;ein Blatt Papier;;une feuille de papier
allemand;voc2;p15;3;mot;der;Kuli;-s;le stylo
allemand;voc2;p15;4;mot;der;Bleistift;-e;le crayon
allemand;voc2;p15;5;mot;der;Radiergummi;-s;la gomme
allemand;voc2;p15;6;mot;das;Lineal;-e;la règle
allemand;voc2;p15;7;mot;die;Schere;-n;les ciseaux
allemand;voc2;p15;8;phrase;;Eine Geschichte verstehen;;Comprendre une histoire
allemand;voc2;p15;9;mot;;Was ist los?;;Que se passe-t-il ?
allemand;voc2;p15;10;mot;;zuerst;;d’abord
allemand;voc2;p15;11;mot;;dann;;après, ensuite, alors
allemand;voc2;p15;12;mot;;danach;;après
allemand;voc2;p15;14;mot;;da sein;;être là
allemand;voc2;p15;15;verbe;;er ist da;;il est là
allemand;voc2;p15;16;mot;;weg sein;;être parti-e, ne plus être là,avoir disparu
allemand;voc2;p15;17;verbe;;er ist weg;;'il est parti, il n''est plus là, il a disparu'
allemand;voc2;p15;18;mot;;Glück haben;;avoir de la chance
allemand;voc2;p15;19;verbe;;Sie hat kein Glück.;;Elle n’a pas de chance.
allemand;voc2;p15;20;mot;;So ein Mist!;;Mince alors !
allemand;voc2;p15;21;mot;das;Handy;-s;le (téléphone) portable
allemand;voc2;p15;22;mot;das;Portemonnaie;-s;le porte-monnaie
allemand;voc2;p15;23;mot;der;Akku;-s;la batterie (rechargeable)
allemand;voc2;p15;24;mot;;leer;;vide
allemand;voc2;p15;25;phrase;;Der Akku ist leer.;;La batterie est vide.
allemand;voc2;p15;26;mot;;klingeln;;sonner
allemand;voc2;p15;27;verbe;;es klingelt;;ça sonne
allemand;voc2;p15;28;phrase;;Das Handy klingelt nicht.;;Le portable ne sonne pas.
allemand;voc2;p15;29;mot;;zu spät sein;;être trop tard
allemand;voc2;p15;30;verbe;;Es ist zu spät.;;Il est trop tard.
allemand;voc2;p15;31;mot;der;Mensch;-en;l’homme, l’être humain
allemand;voc2;p15;32;mot;der;Roboter;-;le robot
