language;voc;page;line;Type;Der-Die-Das;Mot en ALL;pluriel;Mot FR
allemand;voc6;p40;11;mot;;müde;;fatigué,-e
allemand;voc6;p40;12;mot;Die;Abfahrt;en;le départ
allemand;voc6;p40;13;mot;Der;Treffpunkt;e;le point de rencontre
allemand;voc6;p40;14;mot;Die;Ankunft;ü-e;L arrivée
allemand;voc6;p40;15;mot;Die;Rückreise;n;le retour
allemand;voc6;p40;16;mot;Die;Strassenbahn;en;le tram(way)
allemand;voc6;p40;17;mot;Die;Ruhe;;le silence (toujours au singulier)
allemand;voc6;p40;18;phrase;;Ab 22 Uhr ist Ruhe;;A partir de 22 H le silence est de rigueur
allemand;voc6;p40;19;phrase;;Er hat kein Geld mehr;;il n’a plus d argent
allemand;voc6;p40;20;phrase;;pleite sein, er ist pleite;;être fauché,-e
allemand;voc6;p40;21;phrase;;leihen, er leiht, hat geliehen;;prêter
allemand;voc6;p40;22;phrase;;Man kann Fahrräder leihen;;on peut prêter des bicyclettes
allemand;voc6;p40;23;mot;Das;Gepäck;;les bagages (toujours au singulier)
allemand;voc6;p41;1;phrase;;ab/geben, er gibt ab, hat abgegeben;;déposer
allemand;voc6;p41;2;mot;Der;Speisesaal;ä-e;la salle à manger
allemand;voc6;p41;3;mot;Das;Geschenk;e;le cadeau
allemand;voc6;p41;4;phrase;;kochen er kocht, er hat gekocht;;cuisiner
allemand;voc6;p41;5;phrase;;probieren, er probiert, er hat probiert;;essayer
allemand;voc6;p41;6;phrase;;zeigen, er zeigt, er hat gezeigt;;montrer
allemand;voc6;p41;7;phrase;;aus/packen, er packt aus, er hat ausgepackt;;déballer, ouvrir
allemand;voc6;p41;8;phrase;;Victor hat die Geschenke ausgepackt;;Victor a ouvert les cadeaux
allemand;voc6;p41;9;phrase;;reden, er redet, er hat geredet;;parler
allemand;voc6;p41;10;phrase;;Musik hören, er hört, hat gehört;;écouter de la musique
allemand;voc6;p41;11;phrase;;tanzen, er tanzt, hat getanzt;;danser
allemand;voc6;p41;12;phrase;;auf/räumen, er räumt auf, hat aufgeräumt;;ranger
allemand;voc6;p41;13;phrase;;Jens und Martina haben die Küche aufgeräumt;; Jens et Martina ont rangé la cuisine
allemand;voc6;p41;14;phrase;;küssen, er küsst, hat geküsst;;embrasser
allemand;voc6;p41;15;phrase;;Wer hat Jens geküsst?;;qui a embrassé Jens?
allemand;voc6;p41;16;mot;;stimmen;;être juste, vrai
allemand;voc6;p41;17;phrase;;das stimmt;;c’est juste
allemand;voc6;p41;18;phrase;;das stimmt nicht;;ce n’est pas juste/vrai
allemand;voc6;p41;19;phrase;;sauer sein, er ist sauer;;être fâché
allemand;voc6;p41;20;phrase;;Alexandra ist sauer;;Alexandra est fâchée
allemand;voc6;p42;1;phrase;;Entschuldigung!;;Excusez moi
allemand;voc6;p42;2;phrase;;Ich hätte gern;;J’aimerai bien…
allemand;voc6;p42;3;phrase;;Wie viel kostet…;;Combien coûte…
allemand;voc6;p42;4;phrase;;Wie spät ist es?;;Quelle heure est il?
allemand;voc6;p42;5;phrase;;Wo ist die Toilette, bitte?;;Où sont les toilettes SVP?
allemand;voc6;p42;6;phrase;;Wie komme ich….;;comment est ce que je vais …
allemand;voc6;p42;7;phrase;;… zur Polizei?;;à la police?
allemand;voc6;p42;8;phrase;;...zum Bahnhof?;;à la gare?
allemand;voc6;p42;9;phrase;;Welcher Bus fährt ins Zentrum?;;Quel bus va dans le centre?
allemand;voc6;p42;10;phrase;;Wann fährt…?;;A quelle heure part…?
allemand;voc6;p42;11;phrase;;Gibt es hier Fahrkarten?;;Y a t il des billets ici?
