language;voc;page;line;Type;Der-Die-Das;Mot en ALL;pluriel;Mot FR
allemand;voc7;p45;1;mot;der;Freund;-e;l’ami
allemand;voc7;p45;3;mot;der;Junge;-n;le garçon
allemand;voc7;p45;23;phrase;;nicht mehr;;ne… plus
allemand;voc7;p45;6a;mot;;tanzen;;danser
allemand;voc7;p45;6;phrase;;tanzen, er tanzt, hat getanzt;;danser
