language;voc;page;line;Type;Der-Die-Das;Mot en ALL;pluriel;Mot FR
allemand;voc6;40;35;phrase;;kaufen, er kauft, hat gekauft;;acheter
allemand;voc6;40;36;phrase;;essen, er isst hat gegessen;;manger
allemand;voc6;40;37;phrase;;besuchen, er besucht, hat besucht;;visiter
allemand;voc6;40;38;phrase;;mit/kommen, er kommt mit, ist mitgekommen;;venir avec qqn
allemand;voc6;40;39;phrase;;kommst du mit?;;Tu viens (avec moi avec nous)?
allemand;voc6;40;40;mot;Die;Kirche;-n;l église
allemand;voc6;40;41;phrase;;Sie geht in die Kirche;;elle va à l’église
allemand;voc6;40;42;mot;Der;Turm;"""-e";la tour
allemand;voc6;40;43;mot;Die;Brücke;-n;Le pont
allemand;voc6;40;44;phrase;;Wir gehen über die Brücke;;Nous traversons le pont
allemand;voc6;40;45;mot;Das;Stadion;Stadien;le stade
allemand;voc6;40;46;mot;Das;Fussballstadion;-stadien;le stade de football
allemand;voc6;40;47;mot;Die;Polizei;;la police
allemand;voc6;40;48;phrase;;steigen, er steigt, ist gestiegen;; Jens et Martina ont rangé la cuisine
allemand;voc6;40;49;phrase;;Wir sind auf dem Turm gestiegen;;nous sommes montés en haut de la tour
allemand;voc6;40;50;phrase;;besichtigen, er besichtigt, hat besichtigt;;visiter (la ville)
allemand;voc6;40;51;phrase;;Wie haben die Stadt besichtigt;;nous avons visité la ville
allemand;voc6;40;52;mot;Der;Meter;,-;le mètre
allemand;voc6;40;53;mot;Die;Altstadt;,¨-e;la vieille ville, la cité
allemand;voc6;40;54;mot;Das;Kunstmuseum;,-museen;le musée d’art
